id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
40,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",25-04-2023 02:00:00,SO2,8,23,15,NA
41,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",25-04-2023 02:00:00,CO,1,62,14,NA
42,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",25-04-2023 02:00:00,OZONE,14,44,20,NA
43,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",25-04-2023 02:00:00,PM2.5,NA,NA,NA,NA
44,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",25-04-2023 02:00:00,PM10,NA,NA,NA,NA
45,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",25-04-2023 02:00:00,NO2,NA,NA,NA,NA
46,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",25-04-2023 02:00:00,SO2,NA,NA,NA,NA
47,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",25-04-2023 02:00:00,CO,NA,NA,NA,NA
48,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",25-04-2023 02:00:00,OZONE,NA,NA,NA,NA
49,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",25-04-2023 02:00:00,PM2.5,10,362,61,NA
50,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",25-04-2023 02:00:00,PM10,14,406,103,NA
51,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",25-04-2023 02:00:00,NO2,20,72,37,NA
52,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",25-04-2023 02:00:00,NH3,3,5,4,NA
53,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",25-04-2023 02:00:00,SO2,2,107,29,NA
