Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,492738,Oneida,Utica,13502,NA,National Grid,2021-06-01T00:00:00,10788,Oil,"1,296",1,Home Performance,Mobile,Building Shell,1301,23,589
2022-04-30T00:00:00,418402,Warren,Warrensburg,12885,NA,National Grid,2021-12-22T00:00:00,7472,Kerosene,960,1,Home Performance,Mobile,Building Shell,636,42,840
2021-09-30T00:00:00,490925,Madison,Canastota,13032,NA,National Grid,2021-05-18T00:00:00,5311,Propane,"3,868",1,Home Performance,Single Family,Building Shell,368,13,275
2022-04-30T00:00:00,501575,Washington,Salem,12865,NA,New York State Electric & Gas,2021-12-07T00:00:00,10655,Oil,"1,814",1,Home Performance,Single Family,Building Shell,477,81,1364
2022-04-30T00:00:00,526718,Kings,Brooklyn,11236,NA,Consolidated Edison,2021-11-30T00:00:00,3470,Natural Gas,"1,998",2,Home Performance,Single Family,Building Shell,939,12,396
2021-09-30T00:00:00,493193,Oneida,Rome,13440,NA,National Grid,2021-04-15T00:00:00,5388,Oil,"1,097",1,Home Performance,Single Family,Building Shell,510,19,366
2021-09-30T00:00:00,441565,Warren,Lake Luzerne,12846,NA,National Grid,2021-04-13T00:00:00,1165,Propane,980,1,Home Performance,Mobile,Building Shell,727,1,107
2021-09-30T00:00:00,488730,Lewis,Port Leyden,13433,NA,National Grid,2021-03-23T00:00:00,2200,Oil,"3,172",1,Home Performance,Single Family,Building Shell,0,11,306
2022-04-30T00:00:00,504638,Madison,Canastota,13032,NA,National Grid,2021-10-12T00:00:00,681,Oil,948,1,Home Performance,Single Family,Building Shell,0,1,20
2022-04-30T00:00:00,489329,Orleans,Medina,14103,NA,National Grid,2021-10-05T00:00:00,4413,Oil,"1,844",1,Home Performance,Single Family,Building Shell,1033,19,659
2021-09-30T00:00:00,438344,Otsego,Otego,13825,NA,New York State Electric & Gas,2021-02-25T00:00:00,5888,Propane,"1,624",1,Home Performance,Mobile,Building Shell,661,33,626
2021-09-30T00:00:00,462777,Oneida,Rome,13440,NA,National Grid,2021-02-11T00:00:00,6672,Oil,"2,682",1,Home Performance,Single Family,Building Shell,902,16,368
2021-09-30T00:00:00,478448,Oneida,Rome,13440,National Grid,National Grid,2021-02-11T00:00:00,354,Natural Gas,"2,835",1,Home Performance,Single Family,Building Shell,0,3,23
2021-09-30T00:00:00,471407,Nassau,Hicksville,11801,NA,Long Island Power Authority,2021-02-04T00:00:00,2746,Oil,"1,388",1,Home Performance,Single Family,Building Shell,1380,3,369
2022-04-30T00:00:00,503610,Oneida,Utica,13502,National Grid,National Grid,2021-08-12T00:00:00,8273,Natural Gas,"3,400",1,Home Performance,Single Family,Building Shell,510,52,632
2022-04-30T00:00:00,491608,Oneida,Utica,13502,National Grid,National Grid,2021-08-12T00:00:00,4675,Natural Gas,925,1,Home Performance,Single Family,Building Shell,301,24,299
2021-09-30T00:00:00,471709,Oneida,Verona,13478,NA,National Grid,2020-11-18T00:00:00,7058,Oil,"1,717",1,Home Performance,Single Family,Building Shell,410,30,573
2021-09-30T00:00:00,461291,Oneida,Camden,13316,NA,National Grid,2020-10-29T00:00:00,8857,Kerosene,"1,052",1,Home Performance,Mobile,Building Shell,910,41,882
2021-09-30T00:00:00,459074,Oneida,Annsville,13471,NA,National Grid,2020-10-08T00:00:00,8965,Kerosene,980,1,Home Performance,Mobile,Building Shell,1135,25,543
2021-09-30T00:00:00,457154,Broome,Binghamton,13903,NA,New York State Electric & Gas,2020-10-06T00:00:00,11195,Oil,"1,846",1,Home Performance,Single Family,Building Shell,1417,45,898
2022-04-30T00:00:00,483443,Herkimer,Cold Brook,13324,NA,National Grid,2021-05-18T00:00:00,2332,Oil,"1,050",1,Home Performance,Single Family,Building Shell,0,10,159
2021-09-30T00:00:00,436560,Rockland,Suffern,10901,NA,Orange & Rockland,2020-09-10T00:00:00,10664,Oil,"2,228",1,Home Performance,Single Family,Building Shell,301,67,1355
2021-09-30T00:00:00,428566,Jefferson,Adams Center,13606,NA,National Grid,2020-09-08T00:00:00,4054,Propane,"1,056",1,Home Performance,Mobile,Building Shell,75,13,429
2021-09-30T00:00:00,462707,Warren,Queensbury,12804,National Grid,National Grid,2020-08-18T00:00:00,6819,Natural Gas,980,1,Home Performance,Mobile,Building Shell,443,42,395
2021-09-30T00:00:00,465091,Herkimer,Poland,13431,NA,National Grid,2020-08-11T00:00:00,5140,Propane,924,1,Home Performance,Mobile,Building Shell,585,13,412
2021-09-30T00:00:00,407015,Schenectady,Scotia,12302,National Grid,National Grid,2020-08-11T00:00:00,6526,Natural Gas,968,1,Home Performance,Single Family,Building Shell,658,39,389
2022-04-30T00:00:00,482457,Oneida,Utica,13502,NA,National Grid,2021-04-01T00:00:00,12334,Propane,"1,680",1,Home Performance,Single Family,Building Shell,0,34,816
2021-09-30T00:00:00,440900,Oneida,Utica,13502,NA,National Grid,2020-07-30T00:00:00,4041,Oil,"1,256",1,Home Performance,Single Family,Building Shell,0,21,376
2022-04-30T00:00:00,480214,Fulton,Gloversville,12078,National Grid,National Grid,2021-02-16T00:00:00,5046,Natural Gas,"1,232",1,Home Performance,Single Family,Building Shell,9568,1,1003
2021-09-30T00:00:00,457670,Oswego,Fulton,13069,NA,National Grid,2020-03-31T00:00:00,5518,Propane,952,1,Home Performance,Mobile,Building Shell,443,22,577
2022-04-30T00:00:00,476574,Broome,Harpursville,13787,NA,New York State Electric & Gas,2021-01-21T00:00:00,6253,Oil,840,1,Home Performance,Mobile,Building Shell,510,26,510
2022-04-30T00:00:00,482642,Queens,Queens,11422,National Grid,Consolidated Edison,2021-01-21T00:00:00,3010,Natural Gas,"2,145",1,Home Performance,Single Family,Building Shell,510,10,222
2022-04-30T00:00:00,457910,Monroe,Rochester,14622,Rochester Gas & Electric,Rochester Gas & Electric,2021-01-21T00:00:00,2504,Natural Gas,896,1,Home Performance,Single Family,Building Shell,343,18,183
2022-04-30T00:00:00,486102,Oswego,Central Square,13036,National Grid,National Grid,2021-01-21T00:00:00,5905,Natural Gas,924,1,Home Performance,Mobile,Building Shell,877,16,226
2022-04-30T00:00:00,480011,Jefferson,Watertown,13601,National Grid,National Grid,2021-01-21T00:00:00,3850,Natural Gas,"1,290",1,Home Performance,Single Family,Building Shell,831,17,223
2022-04-30T00:00:00,442464,Onondaga,Syracuse,13203,National Grid,National Grid,2021-01-21T00:00:00,3551,Natural Gas,896,1,Home Performance,Single Family,Building Shell,0,23,187
